count;0.9;0.95;0.1;0.05
1;0.015790774;0.00393214;2.705543454;3.841458821
2;0.210721031;0.102586589;4.605170186;5.991464547
3;0.584374374;0.351846318;6.251388631;7.814727903
4;1.063623217;0.710723021;7.77944034;9.487729037
5;1.610307987;1.145476226;9.2363569;11.07049769
6;2.204130656;1.635382894;10.64464068;12.59158724
7;2.833106918;2.167349909;12.01703662;14.06714045
8;3.489539126;2.732636793;13.36156614;15.50731306
9;4.168159008;3.325112843;14.68365657;16.9189776
10;4.865182052;3.940299136;15.98717917;18.30703805
11;5.57778479;4.574813079;17.27500852;19.67513757
12;6.30379606;5.226029488;18.54934779;21.02606982
13;7.04150458;5.891864338;19.81192931;22.36203249
14;7.78953361;6.570631384;21.06414421;23.6847913
15;8.546756242;7.260943928;22.30712958;24.99579014
16;9.312236354;7.961645572;23.54182892;26.2962276
17;10.08518633;8.671760205;24.76903534;27.58711164
18;10.86493612;9.390455081;25.98942308;28.86929943
19;11.65091003;10.11701306;27.20357103;30.14352721
20;12.44260921;10.85081139;28.41198058;31.41043284
21;13.23959798;11.59130521;29.61508944;32.67057334
22;14.04149319;12.33801458;30.81328234;33.92443847
23;14.8479558;13.09051419;32.00689968;35.17246163
24;15.65868405;13.84842503;33.19624429;36.4150285
25;16.473408;14.61140764;34.38158702;37.65248413
26;17.29188499;15.37915658;35.56317127;38.88513866
27;18.11389597;16.15139585;36.74121675;40.11327207
28;18.93924237;16.92787504;37.91592254;41.33713815
29;19.76774356;17.70836618;39.08746977;42.5569678
30;20.59923461;18.49266098;40.25602374;43.77297183
31;21.4335645;19.28056856;41.42173583;44.98534328
32;22.27059448;20.07191346;42.58474508;46.19425952
33;23.11019674;20.86653399;43.74517956;47.39988392
34;23.95225327;21.66428071;44.90315752;48.60236737
35;24.79665478;22.46501522;46.05878844;49.80184957
