Name,Diameter
Bohemia,54.6
Palma,188.6
Melusina,95.8
Burgundia,44.7
Geometria,34.9
Campania,91.0
Holmia,26.7
Huenna,92.3
Fiducia,73.2
Myrrha,120.6
Dodona,58.4
Janina,45.5
Burdigala,36.9
Ilmatar,91.5
Siegena,165.0
Aquitania,100.5
Charybdis,114.2
Industria,79.0
Alma,23.7
Wilhelmina,62.9
Lampetia,96.9
Arduina,31.3
Delia,51.0
Aeolia,34.1
Vienna,43.3
Admete,47.0
Persephone,49.1
Ducrosa,33.7
Ottilia,99.1
Chloe,54.2
Cyane,49.0
Arsinoe,97.7
Thia,124.9
Erna,49.2
Arachne,95.1
Fama,40.8
Aspasia,161.6
Chloris,123.5
Xanthe,76.5
Elisabetha,91.0
Edburga,31.9
Liriope,69.9
Palatia,76.3
Vaticana,85.5
Suevia,40.7
Alemannia,34.1
Aurelia,129.0
Bertholda,141.2
Diotima,208.8
Gratia,87.2
Cornelia,63.9
Hippo,127.1
Galene,30.0
Monachia,17.8
Lotis,69.6
Hybris,33.3
Nephele,95.0
Pythia,46.9
Ella,41.5
Patricia,59.5
Rhodia,13.1
Zeuxo,61.2
Ohio,76.6
Bathilde,70.3
Eichsfeldia,65.7
Photographica,26.7
Gyptis,159.6
Edna,87.2
Aeternitas,45.4
Valentine,79.5
Natalie,47.8
Hamburga,85.6
Brigitta,33.3
Patientia,225.0
Tea,20.2
Mathesis,81.6
Bruchsalia,84.4
Abnoba,39.8
Hercynia,38.8
Signe,29.3
Scania,21.8
Saskia,45.7
Eriphyla,35.6
Lola,20.0
Megaira,74.0
Alekto,73.3
Tisiphone,115.5
Laura,42.0
Lina,69.3
Argentina,125.6
Kilia,26.4
Papagena,134.2
Roma,47.3
Prudentia,37.6
Ocllo,31.0
Hedwig,116.8
Italia,22.5
Tergeste,79.5
Caprera,73.0
Hansa,56.2
Emita,116.0
Petrina,46.6
Seppina,69.6
Pittsburghia,31.6
Genua,63.9
Cremona,22.0
Venetia,63.1
Kreusa,150.1
Comacina,139.4
Veritas,115.5
Carina,97.3
Gismonda,51.7
Griseldis,46.4
Virtus,85.5
Eulalia,38.9
Gryphia,15.5
Iva,45.3
Tokio,82.8
Venusia,81.4
Selinur,43.9
Urhixidur,77.4
Sigune,16.0
Evelyn,81.7
Cora,30.0
Marion,105.9
Laodica,43.8
Princetonia,142.3
Iolanda,53.0
Mabella,57.4
Davida,326.1
Taurinensis,23.1
Centesima,50.1
Armida,106.2
Athalia,38.2
Amherstia,73.1
Edith,91.1
Halawe,15.7
Sylvania,48.2
Franziska,28.7
Brixia,115.7
Helga,101.2
Ada,31.9
Fidelio,71.7
Jena,41.5
Euryanthe,52.9
Rezia,83.4
Preziosa,32.0
Turandot,84.8
Zerlina,15.2
Herculina,222.2
Sara,31.1
Nassovia,33.1
Montague,74.5
Merapi,151.4
Pauly,39.1
Friederike,72.5
Pamina,54.0
Rosamunde,19.0
Deborah,57.0
Susanna,41.6
Charlotte,34.4
Jetta,24.6
Messalina,111.3
Herodias,66.0
Praxedis,69.7
Jessonda,18.8
Senta,37.8
Ortrud,78.5
Sigelinde,77.6
Peraga,95.9
Norma,40.1
Phyllis,37.8
Carmen,59.3
Nanon,79.8
Delila,37.2
Ingwelde,24.5
Salome,30.7
Suleika,53.3
Dudu,49.6
Marbachia,27.6
Stereoskopia,168.2
Eleutheria,93.4
Cheruskia,87.0
Misa,73.0
Kythera,102.8
Dulcinea,44.5
Rebekka,29.6
Recha,48.0
Reginhild,7.5
Renate,21.3
Emanuela,84.7
Rhea,39.5
Happelia,69.3
Sidonia,85.6
Selene,45.8
Tauntonia,63.7
Olympia,43.4
Klotilde,81.6
Semiramis,54.0
Bilkis,58.1
Thekla,82.4
Achilles,135.5
Croatia,88.0
Tomyris,39.9
Irmgard,51.9
Titania,75.3
Mireille,9.2
Polyxena,109.1
Scheila,113.3
Bandusia,36.1
Octavia,72.3
Luisa,64.9
Musa,24.9
Nerthus,73.3
Marianna,124.7
Timandra,13.7
Tekmessa,65.2
Juvisia,70.1
Brangane,35.5
Jenny,62.8
Adolfine,25.2
Fulvia,54.2
Valeria,57.0
Veronika,37.7
Ginevra,80.0
Pia,25.8
Roswitha,48.2
Elly,18.1
Patroclus,140.9
Elfriede,120.3
Werdandi,27.1
Chimaera,44.1
Xenia,28.4
Notburga,100.7
Charis,48.5
Christine,49.7
Euphemia,17.2
Philippina,57.6
Zelima,34.4
Ute,69.4
Vundtia,98.2
Erika,74.3
Chrysothemis,43.5
Moira,65.6
Latona,71.2
Brambilla,80.8
Clara,33.4
Scheherezade,71.6
Cosima,19.9
Agrippina,28.0
Pippa,68.3
Antikleia,33.0
Jubilatrix,16.9
Berenike,39.2
Zelinda,127.4
Briseis,30.8
Beagle,53.2
Gunlod,42.5
Asteria,22.9
Nestor,108.9
Crescentia,42.2
Cloelia,48.0
Newtonia,23.6
Gerlinde,100.9
Judith,72.7
Sabine,51.1
Desdemona,26.9
Denise,81.3
Dora,26.8
Kypria,31.8
Ottegebe,34.1
Carnegia,58.7
Astarte,34.8
Edda,37.5
Rachele,97.3
Melitta,80.0
Aaltje,28.9
Fredegundis,41.8
Pax,51.5
Genoveva,83.9
Hagar,15.5
Lanzia,82.0
Hermia,10.9
Gersuind,41.1
Melanie,41.4
Zita,14.4
Wratislavia,135.0
Lehigh,87.7
Hippodamia,45.9
Zerbinetta,67.7
Ekard,90.8
Bella,48.2
Leonora,75.8
Galilea,80.1
Ernestina,27.0
Auravictrix,15.4
Oriola,40.2
Alauda,194.7
Interamnia,316.6
Erminia,134.2
Hirundo,29.2
Raphaela,21.4
Fringilla,96.6
Gertrud,26.8
Boliviana,127.6
Luscinia,105.5
Ulula,39.2
Transvaalia,28.6
Berkeley,21.3
Wisibada,31.0
Erida,72.9
Bohlinia,33.7
Tabora,76.1
Hammonia,35.7
Amanda,21.5
Joella,43.6
Nipponia,32.2
Watsonia,49.1
Sorga,41.8
Tjilaki,37.6
Mocia,88.4
Benda,70.8
Marghanna,74.3
Harvard,16.7
Arequipa,44.1
Alagasta,62.8
Mandeville,107.4
Cantabia,90.9
Botolphia,29.6
Edisona,45.6
Eugenisis,53.2
Aguntina,58.7
Marlu,69.8
Winchester,171.7
Simeisa,103.0
Oskar,20.6
Faina,110.5
Sulamitis,62.8
Tiflis,23.6
Malabar,87.6
Quintilla,36.0
Lilliana,71.5
Portlandia,32.1
Mancunia,85.5
Vinifera,45.1
Massinga,71.3
Pulcova,137.1
Cupido,17.3
Gedania,58.3
Moguntia,31.3
Bondia,41.5
Tatjana,106.4
Bali,16.1
Libera,29.4
Tanete,117.7
Irmintraud,95.9
Armor,50.4
Lumiere,33.6
Berbericia,151.2
Gutemberga,65.6
Theobalda,64.1
Nina,76.6
Armenia,94.4
Kartvelia,66.0
Montefiore,11.9
Nora,40.0
Pickeringia,89.4
Zwetana,48.5
Bredichina,91.6
Moskva,27.4
Hohensteina,103.7
Pretoria,170.4
Ani,103.5
Metcalfia,60.7
Arizona,28.9
Irenaea,41.0
Fini,74.7
Sarita,45.0
Ruth,43.2
Gudula,43.6
Helwerthia,33.2
Picka,46.5
Hispania,157.2
Hormuthia,66.9
Gyldenia,62.6
Ceraskia,26.2
Merxia,32.5
Nauheima,23.6
Baumeia,13.5
Tauris,109.5
Coppelia,24.5
Juliana,60.0
Annika,22.1
Kapteynia,49.5
Adriana,58.8
Sisigambis,16.7
Anastasia,34.1
Tanina,11.2
Henrika,19.3
Lindemannia,53.4
Academia,43.8
Petropolitana,41.2
Burnhamia,66.7
Olivia,35.8
Seraphina,59.8
Valborg,20.4
Zenobia,30.0
Kerstin,39.2
Leontina,66.1
Naema,54.4
Lipperta,52.4
Agnia,28.0
Ara,61.8
Altona,80.9
Zeissia,12.3
Wladilena,22.8
Nansenia,27.0
Backlunda,52.0
Glasenappia,15.0
El Djezair,23.5
Bouzareah,74.0
Ursina,29.3
Aida,66.8
Franzia,27.3
Benkoela,27.1
Zubaida,17.8
Fatme,88.3
Kovacia,24.0
Lova,52.5
Mellena,18.5
Amneris,12.2
Holda,30.0
Mechthild,29.0
Rotraut,56.5
Nymphe,13.8
Scott,25.8
Walkure,38.4
Herba,36.0
Swetlana,43.5
Ulrike,33.4
Washingtonia,90.6
Parysatis,44.5
Erynia,22.6
Waltraut,27.3
Gunhild,52.0
Seeligeria,75.9
Leopoldina,76.1
Erda,36.1
Helio,141.9
Sphinx,13.1
Lysistrata,21.9
Jokaste,27.7
Rosalinde,18.8
Nealley,63.4
Rockefellia,58.8
Universitas,21.4
Rhoda,62.7
Buda,24.4
Ulla,116.4
Anneliese,47.1
Agamemnon,166.7
Maritima,83.2
Palisana,76.6
America,33.2
Lyka,28.1
Itha,20.4
Ilsebill,27.6
Rogeria,23.9
Jovita,58.5
Herluga,32.5
Toni,85.5
Alphonsina,54.3
Imhilde,48.5
Ratisbona,67.5
Hildrun,66.8
Westphalia,36.5
Whittemora,45.3
Susi,21.9
Thuringia,53.4
Clivia,7.9
Kunigunde,39.6
Bethgea,27.5
Chlosinde,26.8
Isberga,17.8
Kordula,87.2
Romilda,32.7
Begonia,69.2
Barcelona,25.5
Poesia,43.8
Monterosa,26.9
Hel,69.2
Ahrensa,15.0
Gaspra,15.5
Caia,81.6
Painleva,28.3
Li,58.0
Alstede,17.3
Camelia,73.7
Asplinda,47.1
Arne,57.4
Gunnie,37.8
Aslog,39.5
Iduberga,11.5
Angelica,53.6
Muschi,23.4
Helionape,12.0
Petunia,27.9
Leocadia,19.5
Alsatia,63.8
Cohnia,75.7
Aralia,51.6
Lioba,18.4
Perseverantia,26.5
Benjamina,80.5
Philippa,65.7
Aidamina,78.7
Ilsewa,36.8
Anacostia,86.2
Martina,28.9
Gunila,73.9
Gretia,31.9
